DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
11-Mar-21,SCAN,WPP ScanGroup Plc,5.04,25,5.34,5.4,5.4,5.26,0.14,2.66%,"1,900",-
11-Mar-21,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
11-Mar-21,BAMB,Bamburi Cement Ltd,19.05,50,38.85,40,38.85,39.8,-0.95,2.39%,"1,029,000",-
11-Mar-21,CRWN,Crown Paints Kenya Plc,36,53,39.7,39.7,39.7,39.7,-,-,-,-
11-Mar-21,CABL,East African Cables Ltd,1.25,2.43,1.3,1.35,1.3,1.3,-,-,"22,100",-
11-Mar-21,PORT,East African Portland Cement Ltd,7.8,16,8.58,8.58,8.58,8.6,-0.02,0.23%,"1,000",-
11-Mar-21,KEGN,Kenya Electricity Generating Company Plc,4.4,6.28,4.62,4.65,4.63,4.65,-0.02,0.43%,"606,200",-
11-Mar-21,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
11-Mar-21,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
11-Mar-21,KPLC,Kenya Power and Lighting Company Plc,1.16,2.5,1.37,1.4,1.39,1.4,-0.01,0.71%,"504,600",-
11-Mar-21,TOTL,Total Kenya Ltd,21,27.5,24,24,24,23.5,0.5,2.13%,100,-
11-Mar-21,UMME,Umeme Ltd,6.36,8.6,6.8,6.8,6.8,6.8,-,-,-,-
11-Mar-21,BRIT,Britam Holdings Plc,6,10.65,7.1,7.3,7.14,7.14,-,-,"18,500",-
11-Mar-21,CIC,CIC Insurance Group Ltd,1.95,2.65,2.15,2.17,2.16,2.16,-,-,"4,700",-
11-Mar-21,JUB,Jubilee Holdings Ltd,210,296,265,266,266,266,-,-,"1,900",-
11-Mar-21,KNRE,Kenya Re-Insurance Corporation Ltd,2,2.94,2.6,2.68,2.68,2.66,0.02,0.75%,"131,700",-
11-Mar-21,LBTY,Liberty Kenya Holdings Ltd,6.8,10.5,9.28,10.5,10.25,10.3,-0.05,0.49%,"10,600",-
11-Mar-21,SLAM,Sanlam Kenya Plc,9.5,16.5,12.3,12.3,12.3,11.9,0.4,3.36%,"2,700",-
11-Mar-21,CTUM,Centum Investment Company Plc,15.15,27.8,16.6,16.75,16.6,16.7,-0.1,0.60%,"242,100",-
11-Mar-21,HAFR,Home Afrika Ltd,0.33,0.53,0.37,0.39,0.38,0.37,0.01,2.70%,"213,400",-
11-Mar-21,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
11-Mar-21,OCH,Olympia Capital Holdings Ltd,1.81,2.6,2.12,2.28,2.25,2.16,0.09,4.17%,"3,000",-
11-Mar-21,TCL,Trans-Century Plc,1.01,2.68,1.08,1.2,1.12,1.2,-0.08,6.67%,"64,700",-
11-Mar-21,NSE,Nairobi Securities Exchange Plc,6.5,9.98,8.5,8.5,8.5,8.18,0.32,3.91%,300,-
11-Mar-21,BOC,BOC Kenya Plc,53,72,60,60,60,60,-,-,-,-
11-Mar-21,BAT,British American Tobacco Kenya Plc,305,500,481,485,481.5,481.5,-,-,"17,100",-
11-Mar-21,CARB,Carbacid Investments Plc,7.8,13,11.9,11.95,11.95,12.05,-0.1,0.83%,"2,800",-
11-Mar-21,EABL,East African Breweries Ltd,143.25,185,175,177,175.5,174.75,0.75,0.43%,"1,022,400",-
11-Mar-21,FTGH,Flame Tree Group Holdings Ltd,0.76,2.01,1.33,1.33,1.33,1.33,-,-,300,-
11-Mar-21,ORCH,Kenya Orchards Ltd,10.4,12.25,10.4,10.4,10.4,10.4,-,-,-,-
11-Mar-21,UNGA,Unga Group Ltd,26.1,33,29,29,29,29,-,-,-,-
11-Mar-21,SCOM,Safaricom Plc,25.95,39.95,36.95,38.1,37.55,37.55,-,-,"9,576,300",-
11-Mar-21,FAHR,Stanlib Fahari Income-REIT,4.98,9.16,6.52,6.54,6.54,6.52,0.02,0.31%,800,-
11-Mar-21,GLD,ABSA NewGold ETF,"1,615.00","2,100.00","1,855.00","1,855.00","1,855.00","1,855.00",-,-,-,-
11-Mar-21,^FNK15,FTSE NSE Kenya 15 Index,152.56,195.36,186.85,189.04,188.31,187.47,0.84,0.45%,-,-
11-Mar-21,^FNK25,FTSE NSE Kenya 25 Index,167.57,221.63,210.01,213.86,212.26,211.7,0.56,0.26%,-,-
11-Mar-21,^N20I,NSE 20-Share Index,"1,723.96","2,060.11","1,913.35","1,913.35","1,913.35","1,915.14",-1.79,0.09%,-,-
11-Mar-21,^N25I,NSE 25-Share Index,"2,935.01","3,736.79","3,614.43","3,614.43","3,614.43","3,606.07",8.36,0.23%,-,-
11-Mar-21,^NASI,NSE All-Share Index,127.01,169.11,162.85,162.85,162.85,162.7,0.15,0.09%,-,-
11-Mar-21,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,511.03","1,980.09","1,917.14","1,917.14","1,917.14","1,907.73",9.41,0.49%,-,-
11-Mar-21,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,201.29","1,552.69","1,505.39","1,505.39","1,505.39","1,498.00",7.39,0.49%,-,-
12-Mar-21,EGAD,Eaagads Ltd,8.2,15,13,14,13.05,13,0.05,0.38%,"9,400",-
12-Mar-21,KUKZ,Kakuzi Plc,301,397,365,365,365,365,-,-,100,-
12-Mar-21,KAPC,Kapchorua Tea Kenya Plc,64,90,78.25,78.25,78.25,78.25,-,-,-,-
12-Mar-21,LIMT,Limuru Tea Plc,360,475,360,360,360,360,-,-,-,-
12-Mar-21,SASN,Sasini Plc,14.8,20,17.5,17.5,17.5,18,-0.5,2.78%,"7,000",-
12-Mar-21,WTK,Williamson Tea Kenya Plc,111.25,150,130.5,133,132.5,133,-0.5,0.38%,600,-
12-Mar-21,CGEN,Car and General (K) Ltd,20,26,22.15,22.15,22.15,22.15,-,-,-,-
12-Mar-21,ABSA,ABSA Bank Kenya Plc,8.5,11.9,9.36,9.44,9.42,9.4,0.02,0.21%,"183,000",-
12-Mar-21,BKG,BK Group Plc,12.15,25.25,21,21,21,21,-,-,"31,100",-
12-Mar-21,COOP,Co-operative Bank of Kenya Ltd,10.2,14.05,12.9,13,12.95,12.9,0.05,0.39%,"95,600",-
12-Mar-21,DTK,Diamond Trust Bank Kenya Ltd,58.5,90,75,75.5,75.25,75,0.25,0.33%,"6,200",-
12-Mar-21,EQTY,Equity Group Holdings Plc,28,43,39.5,40.5,40,39.35,0.65,1.65%,"637,000",-
12-Mar-21,HFCK,HF Group Ltd,2.86,5.48,3.32,3.48,3.41,3.37,0.04,1.19%,"7,300",-
12-Mar-21,IMH,I & M Holdings Plc,42,55,43,45,43,43.15,-0.15,0.35%,"1,036,400",-
12-Mar-21,KCB,KCB Group Plc,30,42.5,39.35,40,39.95,39.25,0.7,1.78%,"911,100",-
12-Mar-21,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-
12-Mar-21,NCBA,NCBA Group Plc,20,31.82,24.2,25,24.85,24.1,0.75,3.11%,"9,500",-
12-Mar-21,SBIC,Stanbic Holdings Plc,72.25,104,83,83,83,83,-,-,-,-
12-Mar-21,SCBK,Standard Chartered Bank Kenya Ltd,132,200,134.25,134.5,134.5,134.5,-,-,"7,700",-
12-Mar-21,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
12-Mar-21,EVRD,Eveready East Africa Ltd,0.75,1.5,1.02,1.1,1.05,1.1,-0.05,4.55%,"2,300",-
12-Mar-21,XPRS,Express Kenya Plc,2.5,6,4.28,4.28,4.28,4.28,-,-,-,-
12-Mar-21,KQ,Kenya Airways Plc,0.8,3.96,3.83,3.83,3.83,3.83,-,-,-,-
12-Mar-21,LKL,Longhorn Publishers Plc,4.05,5.3,4.35,4.35,4.35,4.4,-0.05,1.14%,100,-
12-Mar-21,NBV,Nairobi Business Ventures Ltd,0.49,6,3.95,4.2,4.17,4.04,0.13,3.22%,"145,600",-
12-Mar-21,NMG,Nation Media Group Plc,9,26.05,19,19.9,19.55,18.1,1.45,8.01%,"80,000",-
12-Mar-21,SMER,Sameer Africa Plc,1.91,4.62,3.2,3.2,3.2,3.2,-,-,-,-
12-Mar-21,SGL,Standard Group Plc,18,26.5,20.35,20.35,20.35,20.35,-,-,-,-
12-Mar-21,TPSE,TPS Eastern Africa (Serena) Ltd,11.7,18,17.2,18,17.95,18,-0.05,0.28%,"31,000",-
12-Mar-21,UCHM,Uchumi Supermarket Plc,0.2,0.4,0.28,0.28,0.28,0.28,-,-,"11,100",-
12-Mar-21,SCAN,WPP ScanGroup Plc,5.04,25,5.3,5.5,5.42,5.4,0.02,0.37%,"92,300",-
12-Mar-21,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
12-Mar-21,BAMB,Bamburi Cement Ltd,19.05,50,39,40,39.1,38.85,0.25,0.64%,"22,300",-
12-Mar-21,CRWN,Crown Paints Kenya Plc,36,53,39.7,39.7,39.7,39.7,-,-,-,-
12-Mar-21,CABL,East African Cables Ltd,1.24,2.43,1.3,1.35,1.31,1.3,0.01,0.77%,"9,400",-
12-Mar-21,PORT,East African Portland Cement Ltd,7.8,16,8,8,8,8.58,-0.58,6.76%,"3,400",-
12-Mar-21,KEGN,Kenya Electricity Generating Company Plc,4.4,6.28,4.57,4.8,4.61,4.63,-0.02,0.43%,"511,900",-
12-Mar-21,KPLC-P4,KPLC-P4,4.5,5,5,5,5,5,-,-,-,-
12-Mar-21,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
12-Mar-21,KPLC,Kenya Power and Lighting Company Plc,1.16,2.5,1.38,1.4,1.39,1.39,-,-,"516,400",-
12-Mar-21,TOTL,Total Kenya Ltd,21,27.5,25,25,25,24,1,4.17%,500,-
12-Mar-21,UMME,Umeme Ltd,6.36,8.6,6.8,6.8,6.8,6.8,-,-,-,-
12-Mar-21,BRIT,Britam Holdings Plc,6,10.65,7.14,7.3,7.18,7.14,0.04,0.56%,"17,400",-
12-Mar-21,CIC,CIC Insurance Group Ltd,1.95,2.65,2.15,2.3,2.29,2.16,0.13,6.02%,"3,272,900",-
12-Mar-21,JUB,Jubilee Holdings Ltd,210,296,260,265,261.75,266,-4.25,1.60%,"2,700",-
12-Mar-21,KNRE,Kenya Re-Insurance Corporation Ltd,2,2.94,2.6,2.69,2.6,2.68,-0.08,2.99%,"2,107,100",-
12-Mar-21,LBTY,Liberty Kenya Holdings Ltd,6.8,10.5,9.4,10,9.62,10.25,-0.63,6.15%,"2,100",-
12-Mar-21,SLAM,Sanlam Kenya Plc,9.5,16.5,12.4,12.45,12.45,12.3,0.15,1.22%,900,-
12-Mar-21,CTUM,Centum Investment Company Plc,15.15,27.8,16.5,16.75,16.6,16.6,-,-,"30,300",-
12-Mar-21,HAFR,Home Afrika Ltd,0.33,0.53,0.37,0.39,0.38,0.38,-,-,"7,800",-
12-Mar-21,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
12-Mar-21,OCH,Olympia Capital Holdings Ltd,1.81,2.6,2.25,2.25,2.25,2.25,-,-,-,-
12-Mar-21,TCL,Trans-Century Plc,1.01,2.68,1.2,1.2,1.2,1.12,0.08,7.14%,700,-
12-Mar-21,NSE,Nairobi Securities Exchange Plc,6.5,9.98,8.3,8.3,8.3,8.5,-0.2,2.35%,"1,900",-
12-Mar-21,BOC,BOC Kenya Plc,53,72,60,60,60,60,-,-,-,-
12-Mar-21,BAT,British American Tobacco Kenya Plc,305,500,484,485,484.5,481.5,3,0.62%,"2,900",-
12-Mar-21,CARB,Carbacid Investments Plc,7.8,13,11.6,11.9,11.75,11.95,-0.2,1.67%,"4,500",-
12-Mar-21,EABL,East African Breweries Ltd,146,185,175,178,175.25,175.5,-0.25,0.14%,"483,000",-
12-Mar-21,FTGH,Flame Tree Group Holdings Ltd,0.76,2.01,1.26,1.32,1.28,1.33,-0.05,3.76%,"5,000",-
12-Mar-21,ORCH,Kenya Orchards Ltd,10.4,12.25,10.4,10.4,10.4,10.4,-,-,-,-
12-Mar-21,UNGA,Unga Group Ltd,27,33,29,29,29,29,-,-,100,-
12-Mar-21,SCOM,Safaricom Plc,25.95,39.95,36.75,37.5,37.1,37.55,-0.45,1.20%,"3,094,100",-
12-Mar-21,FAHR,Stanlib Fahari Income-REIT,4.98,9.16,6.7,6.9,6.78,6.54,0.24,3.67%,"80,800",-
12-Mar-21,GLD,ABSA NewGold ETF,"1,615.00","2,100.00","1,855.00","1,855.00","1,855.00","1,855.00",-,-,-,-
12-Mar-21,^FNK15,FTSE NSE Kenya 15 Index,152.56,195.36,188.31,190.25,189.48,188.31,1.17,0.62%,-,-
12-Mar-21,^FNK25,FTSE NSE Kenya 25 Index,167.57,221.63,210.62,212.87,212.14,212.26,-0.12,0.06%,-,-
12-Mar-21,^N20I,NSE 20-Share Index,"1,723.96","2,060.11","1,923.04","1,923.04","1,923.04","1,913.35",9.69,0.51%,-,-
12-Mar-21,^N25I,NSE 25-Share Index,"2,935.01","3,736.79","3,617.79","3,617.79","3,617.79","3,614.43",3.36,0.09%,-,-
12-Mar-21,^NASI,NSE All-Share Index,127.01,169.11,162.08,162.08,162.08,162.85,-0.77,0.47%,-,-
12-Mar-21,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,511.03","1,980.09","1,926.72","1,926.72","1,926.72","1,917.14",9.58,0.50%,-,-
12-Mar-21,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,201.29","1,552.69","1,512.91","1,512.91","1,512.91","1,505.39",7.52,0.50%,-,-
15-Mar-21,EGAD,Eaagads Ltd,8.2,14.5,13,14,13,13.05,-0.05,0.38%,"7,000",-
15-Mar-21,KUKZ,Kakuzi Plc,301,397,365,365,365,365,-,-,-,-
15-Mar-21,KAPC,Kapchorua Tea Kenya Plc,64,90,78.25,78.25,78.25,78.25,-,-,100,-
15-Mar-21,LIMT,Limuru Tea Plc,360,475,360,360,360,360,-,-,-,-
15-Mar-21,SASN,Sasini Plc,14.8,20,17,17.5,17.05,17.5,-0.45,2.57%,"11,000",-
15-Mar-21,WTK,Williamson Tea Kenya Plc,111.25,150,133,133,133,132.5,0.5,0.38%,"3,400",-
15-Mar-21,CGEN,Car and General (K) Ltd,20,26,22.15,22.15,22.15,22.15,-,-,-,-
15-Mar-21,ABSA,ABSA Bank Kenya Plc,8.5,11.9,9.3,9.44,9.36,9.42,-0.06,0.64%,"419,900",-
15-Mar-21,BKG,BK Group Plc,12.15,25,21,21,21,21,-,-,-,-
15-Mar-21,COOP,Co-operative Bank of Kenya Ltd,10.2,14.05,12.7,13,12.85,12.95,-0.1,0.77%,"55,400",-
15-Mar-21,DTK,Diamond Trust Bank Kenya Ltd,58.5,90,75,75,75,75.25,-0.25,0.33%,"2,400",-
15-Mar-21,EQTY,Equity Group Holdings Plc,28,43,39.7,40.25,40,40,-,-,"679,800",-
15-Mar-21,HFCK,HF Group Ltd,2.86,5.48,3.48,3.48,3.48,3.41,0.07,2.05%,200,-
15-Mar-21,IMH,I & M Holdings Plc,42,55,43,43,43,43,-,-,-,-
15-Mar-21,KCB,KCB Group Plc,30,42.5,39.55,40,39.65,39.95,-0.3,0.75%,"63,200",-
15-Mar-21,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-
15-Mar-21,NCBA,NCBA Group Plc,20,31.82,24.1,25,24.25,24.85,-0.6,2.41%,"38,700",-
15-Mar-21,SBIC,Stanbic Holdings Plc,72.25,104,83,83,83,83,-,-,"200,000",-
15-Mar-21,SCBK,Standard Chartered Bank Kenya Ltd,132,201,134.25,134.5,134.5,134.5,-,-,"31,000",-
15-Mar-21,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
15-Mar-21,EVRD,Eveready East Africa Ltd,0.75,1.5,1.05,1.05,1.05,1.05,-,-,"46,600",-
15-Mar-21,XPRS,Express Kenya Plc,2.5,6,4.28,4.28,4.28,4.28,-,-,100,-
15-Mar-21,KQ,Kenya Airways Plc,0.8,3.96,3.83,3.83,3.83,3.83,-,-,-,-
15-Mar-21,LKL,Longhorn Publishers Plc,4.05,5.3,4.65,4.65,4.65,4.35,0.3,6.90%,200,-
15-Mar-21,NBV,Nairobi Business Ventures Ltd,0.49,6,3.82,4.5,4.14,4.17,-0.03,0.72%,"89,000",-
15-Mar-21,NMG,Nation Media Group Plc,9,26.05,20,21.5,21.4,19.55,1.85,9.46%,"369,300",-
15-Mar-21,SMER,Sameer Africa Plc,1.91,4.62,3.5,3.5,3.5,3.2,0.3,9.38%,100,-
15-Mar-21,SGL,Standard Group Plc,18,26.5,20.35,20.35,20.35,20.35,-,-,-,-
15-Mar-21,TPSE,TPS Eastern Africa (Serena) Ltd,11.7,18,17.5,17.55,17.55,17.95,-0.4,2.23%,"8,100",-
15-Mar-21,UCHM,Uchumi Supermarket Plc,0.2,0.4,0.27,0.28,0.28,0.28,-,-,"6,600",-
15-Mar-21,SCAN,WPP ScanGroup Plc,5.04,25,5.42,5.5,5.5,5.42,0.08,1.48%,"108,600",-
15-Mar-21,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
15-Mar-21,BAMB,Bamburi Cement Ltd,19.05,50,39.1,40,39.8,39.1,0.7,1.79%,"3,300",-
15-Mar-21,CRWN,Crown Paints Kenya Plc,36,53,39.7,39.7,39.7,39.7,-,-,-,-
15-Mar-21,CABL,East African Cables Ltd,1.24,2.43,1.29,1.31,1.29,1.31,-0.02,1.53%,"3,800",-
15-Mar-21,PORT,East African Portland Cement Ltd,7.8,16,8.58,8.58,8.58,8,0.58,7.25%,800,-
15-Mar-21,KEGN,Kenya Electricity Generating Company Plc,4.4,6.28,4.65,4.89,4.68,4.61,0.07,1.52%,"83,900",-
15-Mar-21,KPLC-P4,KPLC-P4,5,5,5,5,5,5,-,-,-,-
15-Mar-21,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
15-Mar-21,KPLC,Kenya Power and Lighting Company Plc,1.16,2.5,1.36,1.4,1.38,1.39,-0.01,0.72%,"227,400",-
15-Mar-21,TOTL,Total Kenya Ltd,21,27.5,23.75,24,23.8,25,-1.2,4.80%,"2,000",-
15-Mar-21,UMME,Umeme Ltd,6.36,8.6,6.6,6.6,6.6,6.8,-0.2,2.94%,"30,600",-
15-Mar-21,BRIT,Britam Holdings Plc,6,10.65,7.2,7.24,7.2,7.18,0.02,0.28%,"25,200",-
15-Mar-21,CIC,CIC Insurance Group Ltd,1.95,2.65,2.2,2.29,2.22,2.29,-0.07,3.06%,"106,400",-
15-Mar-21,JUB,Jubilee Holdings Ltd,210,296,270,270,270,261.75,8.25,3.15%,"1,000",-
15-Mar-21,KNRE,Kenya Re-Insurance Corporation Ltd,2,2.94,2.5,2.69,2.59,2.6,-0.01,0.38%,"263,500",-
15-Mar-21,LBTY,Liberty Kenya Holdings Ltd,6.8,10.5,8.66,9.5,8.74,9.62,-0.88,9.15%,"8,100",-
15-Mar-21,SLAM,Sanlam Kenya Plc,9.5,16.5,12.4,12.4,12.4,12.45,-0.05,0.40%,"3,800",-
15-Mar-21,CTUM,Centum Investment Company Plc,15.15,27.8,16.1,16.6,16.4,16.6,-0.2,1.20%,"1,732,700",-
15-Mar-21,HAFR,Home Afrika Ltd,0.33,0.53,0.37,0.38,0.38,0.38,-,-,"18,400",-
15-Mar-21,KURV,Kurwitu Ventures Ltd,"1,500.00","1,500.00","1,500.00","1,500.00","1,500.00","1,500.00",-,-,-,-
15-Mar-21,OCH,Olympia Capital Holdings Ltd,1.81,2.6,2.25,2.25,2.25,2.25,-,-,-,-
15-Mar-21,TCL,Trans-Century Plc,1.01,2.68,1.2,1.2,1.2,1.2,-,-,"1,400",-
15-Mar-21,NSE,Nairobi Securities Exchange Plc,6.5,9.98,8.02,8.2,8.06,8.3,-0.24,2.89%,"39,100",-
15-Mar-21,BOC,BOC Kenya Plc,53,72,60,60,60,60,-,-,100,-
15-Mar-21,BAT,British American Tobacco Kenya Plc,305,500,480,480,480,484.5,-4.5,0.93%,300,-
15-Mar-21,CARB,Carbacid Investments Plc,7.8,13,11.5,11.8,11.6,11.75,-0.15,1.28%,"26,600",-
15-Mar-21,EABL,East African Breweries Ltd,146,185,173,177,175,175.25,-0.25,0.14%,"563,100",-
15-Mar-21,FTGH,Flame Tree Group Holdings Ltd,0.76,2.01,1.16,1.33,1.27,1.28,-0.01,0.78%,"13,900",-
15-Mar-21,ORCH,Kenya Orchards Ltd,10.4,12.25,10.4,10.4,10.4,10.4,-,-,-,-
15-Mar-21,UNGA,Unga Group Ltd,26.4,33,29,29,29,29,-,-,-,-
15-Mar-21,SCOM,Safaricom Plc,25.95,39.95,37.05,37.5,37.35,37.1,0.25,0.67%,"7,024,800",-
15-Mar-21,FAHR,Stanlib Fahari Income-REIT,4.98,9.16,6.8,7,6.98,6.78,0.2,2.95%,"14,900",-
15-Mar-21,GLD,ABSA NewGold ETF,"1,615.00","2,100.00","1,855.00","1,855.00","1,855.00","1,855.00",-,-,-,-
15-Mar-21,^FNK15,FTSE NSE Kenya 15 Index,152.56,195.36,188.6,190.4,189.14,189.48,-0.34,0.18%,-,-
15-Mar-21,^FNK25,FTSE NSE Kenya 25 Index,167.57,221.63,211.61,213.39,212.41,212.14,0.27,0.13%,-,-
15-Mar-21,^N20I,NSE 20-Share Index,"1,723.96","2,060.11","1,926.37","1,926.37","1,926.37","1,923.04",3.33,0.17%,-,-
15-Mar-21,^N25I,NSE 25-Share Index,"2,935.01","3,736.79","3,618.98","3,618.98","3,618.98","3,617.79",1.19,0.03%,-,-
15-Mar-21,^NASI,NSE All-Share Index,127.01,169.11,162.52,162.52,162.52,162.08,0.44,0.27%,-,-
15-Mar-21,^ZKEQTK,Zamara Kenya Equity Index (KES),"1,511.03","1,980.09","1,923.23","1,923.23","1,923.23","1,926.72",-3.49,0.18%,-,-
15-Mar-21,^ZKEQTU,Zamara Kenya Equity Index (USD),"1,201.29","1,552.69","1,510.17","1,510.17","1,510.17","1,512.91",-2.74,0.18%,-,-
16-Mar-21,EGAD,Eaagads Ltd,8.2,15,13,13,13,13,-,-,"2,000",-
16-Mar-21,KUKZ,Kakuzi Plc,301,397,365,365,365,365,-,-,-,-
16-Mar-21,KAPC,Kapchorua Tea Kenya Plc,64,90,78.25,78.25,78.25,78.25,-,-,-,-
16-Mar-21,LIMT,Limuru Tea Plc,360,475,360,360,360,360,-,-,-,-
16-Mar-21,SASN,Sasini Plc,14.8,20,17,18,17.15,17.05,0.1,0.59%,"8,700",-
16-Mar-21,WTK,Williamson Tea Kenya Plc,111.25,150,133.5,135,134.75,133,1.75,1.32%,"6,800",-
16-Mar-21,CGEN,Car and General (K) Ltd,20,26,22.15,22.15,22.15,22.15,-,-,-,-
16-Mar-21,ABSA,ABSA Bank Kenya Plc,8.5,11.9,9.3,9.5,9.32,9.36,-0.04,0.43%,"163,200",-
16-Mar-21,BKG,BK Group Plc,12.15,25.25,22,22,22,21,1,4.76%,"2,000",-
16-Mar-21,COOP,Co-operative Bank of Kenya Ltd,10.2,14.05,12.7,13,12.85,12.85,-,-,"366,500",-
16-Mar-21,DTK,Diamond Trust Bank Kenya Ltd,58.5,90,73,73.75,73.5,75,-1.5,2.00%,"5,500",-
16-Mar-21,EQTY,Equity Group Holdings Plc,28,43,40,41,40.05,40,0.05,0.13%,"2,015,800",-
16-Mar-21,HFCK,HF Group Ltd,2.86,5.48,3.33,3.48,3.44,3.48,-0.04,1.15%,"16,400",-
16-Mar-21,IMH,I & M Holdings Plc,42,55,43,44.95,43,43,-,-,"569,500",-
16-Mar-21,KCB,KCB Group Plc,30,42.5,39.6,40.5,39.95,39.65,0.3,0.76%,"2,047,900",-
16-Mar-21,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-
16-Mar-21,NCBA,NCBA Group Plc,20,31.82,24.2,24.5,24.2,24.25,-0.05,0.21%,"14,000",-
16-Mar-21,SBIC,Stanbic Holdings Plc,72.25,104,85,87.5,86.5,83,3.5,4.22%,"2,000",-
16-Mar-21,SCBK,Standard Chartered Bank Kenya Ltd,132,200,134,134.25,134.25,134.5,-0.25,0.19%,"6,900",-
16-Mar-21,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-
16-Mar-21,EVRD,Eveready East Africa Ltd,0.75,1.5,1,1.15,1.01,1.05,-0.04,3.81%,"40,500",-
16-Mar-21,XPRS,Express Kenya Plc,2.5,6,4.28,4.28,4.28,4.28,-,-,-,-
16-Mar-21,KQ,Kenya Airways Plc,0.8,3.96,3.83,3.83,3.83,3.83,-,-,-,-
16-Mar-21,LKL,Longhorn Publishers Plc,4.05,5.3,4.25,4.65,4.26,4.65,-0.39,8.39%,"5,100",-
16-Mar-21,NBV,Nairobi Business Ventures Ltd,0.49,6,4.35,4.49,4.4,4.14,0.26,6.28%,"75,300",-
16-Mar-21,NMG,Nation Media Group Plc,9,26.05,20.55,21.55,21,21.4,-0.4,1.87%,"152,400",-
16-Mar-21,SMER,Sameer Africa Plc,1.91,4.62,3.2,3.2,3.2,3.5,-0.3,8.57%,200,-
16-Mar-21,SGL,Standard Group Plc,18,26.5,20.35,20.35,20.35,20.35,-,-,-,-
16-Mar-21,TPSE,TPS Eastern Africa (Serena) Ltd,11.7,18,17.5,17.55,17.5,17.55,-0.05,0.28%,"1,600",-
16-Mar-21,UCHM,Uchumi Supermarket Plc,0.2,0.4,0.26,0.27,0.26,0.28,-0.02,7.14%,"72,400",-
16-Mar-21,SCAN,WPP ScanGroup Plc,5.04,25,5.48,5.5,5.5,5.5,-,-,"52,400",-
16-Mar-21,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,-,-,-,-
16-Mar-21,BAMB,Bamburi Cement Ltd,19.05,50,39.1,40,39.6,39.8,-0.2,0.50%,"3,900",-
16-Mar-21,CRWN,Crown Paints Kenya Plc,36,53,39,41,39.5,39.7,-0.2,0.50%,"5,400",-
16-Mar-21,CABL,East African Cables Ltd,1.24,2.43,1.3,1.35,1.31,1.29,0.02,1.55%,"44,700",-
16-Mar-21,PORT,East African Portland Cement Ltd,7.8,16,7.8,8.5,8.42,8.58,-0.16,1.86%,"8,100",-
16-Mar-21,KEGN,Kenya Electricity Generating Company Plc,4.4,6.28,4.6,4.8,4.63,4.68,-0.05,1.07%,"225,600",-
16-Mar-21,KPLC-P4,KPLC-P4,4.5,5,5,5,5,5,-,-,-,-
16-Mar-21,KPLC-P7,KPLC-P7,6,6,6,6,6,6,-,-,-,-
16-Mar-21,KPLC,Kenya Power and Lighting Company Plc,1.16,2.5,1.38,1.4,1.39,1.38,0.01,0.72%,"249,300",-
16-Mar-21,TOTL,Total Kenya Ltd,21,27.5,22,23.8,22.05,23.8,-1.75,7.35%,"63,400",-
16-Mar-21,UMME,Umeme Ltd,6.36,8.6,6.6,6.6,6.6,6.6,-,-,"1,900",-
16-Mar-21,BRIT,Britam Holdings Plc,6,10.65,7.18,7.3,7.22,7.2,0.02,0.28%,"2,509,300",-
16-Mar-21,CIC,CIC Insurance Group Ltd,1.95,2.65,2.15,2.25,2.17,2.22,-0.05,2.25%,"96,800",-
16-Mar-21,JUB,Jubilee Holdings Ltd,210,296,262,280,276,270,6,2.22%,"39,000",-
16-Mar-21,KNRE,Kenya Re-Insurance Corporation Ltd,2,2.94,2.5,2.65,2.54,2.59,-0.05,1.93%,"52,400",-
